업체명,업체주소,업종명
시민주유소,광주 서구 눌재로 328,GS주유소
용전주유소,광주 북구 우치로 809,쌍용S-oil주유소
장덕셀프주유소,광주 광산구 왕버들로 59,현대정유오일뱅크
주식회사광주한길가스,광주 북구 민주로 455,L P G
주식회사 버들산업,광주 광산구 동곡로 510,SK주유소
주식회사 레드카펫주유소,광주 북구 용봉로 24,SK주유소
주식회사 세광이앤지,광주 광산구 본동로 538,L P G
주식회사 일프로주유소,광주 서구 운천로 206,현대정유오일뱅크
진영주유소,광주 광산구 송도로 292,SK주유소
행복가득효천주유소,광주 남구 서문대로 37,SK주유소
평화셀프주유소/주식회사 반디컴퍼니,광주 북구 경열로 257,주 유 소
하이가스,광주 동구 소태길 72,L P G
한성골드주유소,광주 광산구 동곡로 407,GS주유소
북문대로주유소,광주 광산구 북문대로 319,쌍용S-oil주유소
순양주유소,광주 광산구 어등대로 667,쌍용S-oil주유소
슈퍼크린주유소,광주 광산구 상무대로 372,쌍용S-oil주유소
영진 광산업 충전소,광주 북구 삼소로 330,L P G
하남현대주유소,광주 광산구 안청동,현대정유오일뱅크
한일LPG충전소,광주 광산구 북문대로420번길 92,SK가스충전소
코끼리주유소,광주 북구 서하로 77,SK주유소
푸른솔주유소,광주 광산구 고봉로 905,쌍용S-oil주유소
화력주유소,광주 남구 회재로 338,GS주유소
